Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",440,29.5,17.7,23,19.1,10.7
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",826,28.6,27.1,21.8,8.4,14.2
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",966,15.8,24.3,23.4,17.9,18.5
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",567,24.2,29.6,15.3,12.2,18.7
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",498,30.5,15.3,20.7,13.9,19.7
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1222,27,27.8,22.5,8.9,13.7
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1074,33.9,25,19.1,11.7,10.3
1400000US26003000300,"Census Tract 3, Alger County, Michigan",715,25.5,21.8,14.8,17.1,20.8
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1832,41.8,18.1,22.7,6.9,10.5
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3481,23.3,15.7,27.4,11.7,21.9
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4065,30.7,16.8,20.2,15.1,17.3
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2272,32.8,16.5,26.5,11,13.2
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3169,25.1,14,25.2,11,24.6
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2267,28,13.6,17.6,14.4,26.4
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2372,29.5,11.3,20.5,13.7,25
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",941,16.8,14.9,16.6,12.4,39.3
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2070,25.7,16,19.2,10.3,28.7
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2025,39.8,16.3,25.7,8.2,10
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1040,25.3,19.3,15.5,24,15.9
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1103,26.6,15.6,20.2,14.1,23.6
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2131,17,20.9,17.9,18.7,25.5
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2771,29.3,12.5,22.3,11.4,24.5
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2214,22.9,12,27.6,8.5,29
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2310,22.6,19,17.4,15.8,25.3
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",1998,25,15.9,28.2,7.7,23.2
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2135,27.6,18.5,24.5,8.4,20.8
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2374,28.2,14.7,27.3,8.7,21
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2193,37.6,14.8,22.5,7.2,18
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2193,26.7,22.1,20.1,11.5,19.6
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",668,20.5,11.2,16.2,17.7,34.4
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",1853,34.9,12,22.9,9.1,21.2
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",630,43.7,12.1,30.8,5.1,8.4
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",1670,28,19.2,18,14.8,20.1
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",1826,27.9,17.5,25.8,13.9,14.8
