Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",478,30.8,19.5,25.9,13.2,10.7
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",737,26.1,23.1,25.9,11.3,13.7
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",999,18.9,20.9,19.1,17.2,23.8
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",600,20,22,19.5,11.8,26.7
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",505,25.1,22.8,24.6,10.7,16.8
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1483,24.3,23.5,26.9,6.1,19.2
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1031,39.7,18.3,22.2,9.2,10.6
1400000US26003000300,"Census Tract 3, Alger County, Michigan",687,27.4,18.9,19.5,13,21.3
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1661,44.6,15.8,20.8,6.7,12.2
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3722,23.1,15.5,24.3,13.6,23.5
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4275,28,16.5,20,16.4,19.1
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2389,29.3,13.3,23.1,15.9,18.4
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3292,24,18.3,21.7,13,22.9
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2365,25.2,14.6,16.8,15.5,27.9
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2492,29.7,12,22,11.6,24.6
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",1197,18.2,13.4,21.1,16,31.3
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2108,23.6,16.4,21.3,10,28.7
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2363,36.9,15.6,23.1,8.5,15.9
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1158,37.3,15.5,21.8,11.1,14.3
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1061,33.8,11.7,19.2,9.2,26
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2267,23.2,21,18.8,14.2,22.8
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2889,32.6,15.6,17.7,13,21
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2200,40.4,14.7,16.1,9.7,19.1
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2266,28.6,19.2,17.5,11.8,22.8
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",2105,35.3,12.3,22.3,7.3,22.9
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2241,20,21.3,23.6,10.3,24.9
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2513,34.2,19.1,17.5,8.3,20.9
