Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2255,30.7,14.1,27.2,11.1,16.8
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2078,23,15.7,24.6,9.2,27.5
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",788,22.3,21.8,14,16.5,25.4
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",2085,30.6,12.9,21.6,9.8,25
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",748,34.9,12.4,19.4,6.6,26.7
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",1813,31.8,14.6,19.4,14.2,20
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",1957,26.2,21.4,26.2,10.1,16
1400000US26007000300,"Census Tract 3, Alpena County, Michigan",1580,30.6,21.6,21.1,12.8,13.9
1400000US26007000400,"Census Tract 4, Alpena County, Michigan",1291,20,19.5,33.1,9.8,17.6
1400000US26007000500,"Census Tract 5, Alpena County, Michigan",834,30.8,23.7,27.9,3.6,13.9
1400000US26007000600,"Census Tract 6, Alpena County, Michigan",1284,29.4,16,36.1,7.6,10.7
1400000US26007000700,"Census Tract 7, Alpena County, Michigan",1214,35.1,20,23.3,10.6,11
1400000US26007000800,"Census Tract 8, Alpena County, Michigan",1292,31,18.7,30.9,8.5,10.9
1400000US26007000900,"Census Tract 9, Alpena County, Michigan",1195,33.4,11,35.2,8.5,11.9
1400000US26007990000,"Census Tract 9900, Alpena County, Michigan",0,-,-,-,-,-
1400000US26009960100,"Census Tract 9601, Antrim County, Michigan",1121,27.4,21.1,23.7,14.6,13.1
1400000US26009960200,"Census Tract 9602, Antrim County, Michigan",1432,23.5,20.3,21.2,13.3,21.9
1400000US26009960300,"Census Tract 9603, Antrim County, Michigan",1172,27.7,21.5,18.3,8.6,23.9
1400000US26009960400,"Census Tract 9604, Antrim County, Michigan",1235,33.8,28.4,15.6,7.8,14.3
1400000US26009960500,"Census Tract 9605, Antrim County, Michigan",1375,33.9,15.6,23.6,14,12.9
1400000US26009960600,"Census Tract 9606, Antrim County, Michigan",1314,33.5,15.9,26.9,8.2,15.5
1400000US26009960700,"Census Tract 9607, Antrim County, Michigan",1999,15.7,25.4,26.4,12.2,20.5
1400000US26009990000,"Census Tract 9900, Antrim County, Michigan",0,-,-,-,-,-
1400000US26011970100,"Census Tract 9701, Arenac County, Michigan",846,24.3,24.5,21.3,8.3,21.6
1400000US26011970200,"Census Tract 9702, Arenac County, Michigan",1197,23.5,22.1,23.1,15.5,16
1400000US26011970300,"Census Tract 9703, Arenac County, Michigan",1145,29.2,15.5,23.5,11.7,20.1
1400000US26011970400,"Census Tract 9704, Arenac County, Michigan",953,30.2,21.1,23.1,9.7,15.9
1400000US26011970500,"Census Tract 9705, Arenac County, Michigan",1612,24.6,18.8,23.2,9.4,24.1
1400000US26011990000,"Census Tract 9900, Arenac County, Michigan",0,-,-,-,-,-
1400000US26011990100,"Census Tract 9901, Arenac County, Michigan",0,-,-,-,-,-
1400000US26013000100,"Census Tract 1, Baraga County, Michigan",1510,25.6,22.3,26.9,9.4,15.8
1400000US26013000200,"Census Tract 2, Baraga County, Michigan",903,31.1,15.8,21.7,9.6,21.7
1400000US26013990100,"Census Tract 9901, Baraga County, Michigan",0,-,-,-,-,-
1400000US26015010100,"Census Tract 101, Barry County, Michigan",2774,24,20.3,23.9,11.1,20.8
1400000US26015010200,"Census Tract 102, Barry County, Michigan",2770,32.7,12.1,20.1,15.2,19.9
1400000US26015010300,"Census Tract 103, Barry County, Michigan",3754,32.2,15.1,19.4,10.8,22.5
1400000US26015010401,"Census Tract 104.01, Barry County, Michigan",1564,27.3,14,26.7,8.3,23.7
1400000US26015010402,"Census Tract 104.02, Barry County, Michigan",1869,31.7,8.2,32,11.9,16.3
1400000US26015010500,"Census Tract 105, Barry County, Michigan",1641,37.9,16.3,20.5,13.3,11.9
1400000US26015010600,"Census Tract 106, Barry County, Michigan",2989,31.1,16.1,21.4,13.7,17.7
1400000US26015010700,"Census Tract 107, Barry County, Michigan",2269,27.4,15.3,20.9,14.4,21.9
1400000US26015010800,"Census Tract 108, Barry County, Michigan",1407,25.4,16.6,20,15.8,22.1
1400000US26015011300,"Census Tract 113, Barry County, Michigan",3507,28.2,15.3,23.2,8.7,24.6
1400000US26015011400,"Census Tract 114, Barry County, Michigan",2902,36.5,14.3,18.8,5,25.5
1400000US26017280300,"Census Tract 2803, Bay County, Michigan",583,20.6,36.5,23.8,3.9,15.1
1400000US26017280400,"Census Tract 2804, Bay County, Michigan",1340,22.3,28.3,25.7,5.6,18.1
1400000US26017280500,"Census Tract 2805, Bay County, Michigan",1671,37.2,20.7,25.7,7.6,8.8
1400000US26017280600,"Census Tract 2806, Bay County, Michigan",1073,24.5,25.4,27,9.6,13.4
1400000US26017280700,"Census Tract 2807, Bay County, Michigan",997,19,23.8,29.1,7.9,20.3
1400000US26017280800,"Census Tract 2808, Bay County, Michigan",1628,22.2,19.9,33.7,10.1,14.1
1400000US26017280900,"Census Tract 2809, Bay County, Michigan",1228,18.9,25.8,33.1,5.5,16.7
1400000US26017281000,"Census Tract 2810, Bay County, Michigan",1752,19.9,27.3,30.3,5.5,17.1
1400000US26017281300,"Census Tract 2813, Bay County, Michigan",1185,25.9,20,26.6,13.8,13.8
1400000US26017285100,"Census Tract 2851, Bay County, Michigan",1392,29.1,24.9,22,10,14
1400000US26017285201,"Census Tract 2852.01, Bay County, Michigan",2520,29.3,18.6,24.8,10.5,16.8
1400000US26017285202,"Census Tract 2852.02, Bay County, Michigan",1662,38.9,17.4,22.3,6.4,15
1400000US26017285300,"Census Tract 2853, Bay County, Michigan",2124,28.2,23.7,22,12,14
1400000US26017285400,"Census Tract 2854, Bay County, Michigan",1834,38,14.7,21.4,11.1,14.7
1400000US26017285500,"Census Tract 2855, Bay County, Michigan",3106,40.2,16.5,22.6,5.8,14.8
1400000US26017285600,"Census Tract 2856, Bay County, Michigan",3522,31.1,18.9,27.1,9.4,13.6
1400000US26017285700,"Census Tract 2857, Bay County, Michigan",1643,35.2,18.9,22.6,9.5,13.8
1400000US26017285800,"Census Tract 2858, Bay County, Michigan",2542,33.1,21.1,26.8,4,15
1400000US26017285900,"Census Tract 2859, Bay County, Michigan",1691,18.5,20.3,39.1,8.5,13.6
1400000US26017286000,"Census Tract 2860, Bay County, Michigan",1633,29.4,18.9,24.9,5.3,21.6
1400000US26017286100,"Census Tract 2861, Bay County, Michigan",3528,30.7,17.6,22.5,10.3,19
1400000US26017286200,"Census Tract 2862, Bay County, Michigan",2054,26.6,22.8,21.5,6.4,22.7
1400000US26017286300,"Census Tract 2863, Bay County, Michigan",1683,23.9,15.9,26.3,12.3,21.6
1400000US26017286400,"Census Tract 2864, Bay County, Michigan",1236,21.5,17.9,24.7,17.6,18.3
1400000US26017286500,"Census Tract 2865, Bay County, Michigan",501,27.5,21.8,35.1,2.2,13.4
1400000US26017286600,"Census Tract 2866, Bay County, Michigan",2114,18.3,30.7,23.9,11.5,15.7
1400000US26017990000,"Census Tract 9900, Bay County, Michigan",0,-,-,-,-,-
1400000US26019000100,"Census Tract 1, Benzie County, Michigan",3710,32.4,19.8,24,12.1,11.6
1400000US26019000200,"Census Tract 2, Benzie County, Michigan",1351,25,21.4,24.7,19.3,9.5
1400000US26019000300,"Census Tract 3, Benzie County, Michigan",555,40.5,15,18.4,6.1,20
1400000US26019000400,"Census Tract 4, Benzie County, Michigan",819,33.7,23,16.7,14.7,12
1400000US26019000500,"Census Tract 5, Benzie County, Michigan",1269,21.8,24.2,24.6,14.1,15.3
1400000US26019990000,"Census Tract 9900, Benzie County, Michigan",0,-,-,-,-,-
1400000US26021000300,"Census Tract 3, Berrien County, Michigan",650,14.8,26.9,23.8,5.4,29.1
1400000US26021000400,"Census Tract 4, Berrien County, Michigan",611,15.4,32.1,32.7,7.7,12.1
1400000US26021000500,"Census Tract 5, Berrien County, Michigan",610,24.4,15.7,28.2,4.4,27.2
1400000US26021000600,"Census Tract 6, Berrien County, Michigan",1126,22.5,33.8,16.3,4.3,23.2
1400000US26021000700,"Census Tract 7, Berrien County, Michigan",1420,29.4,23.2,25.1,7.5,14.8
1400000US26021000800,"Census Tract 8, Berrien County, Michigan",2922,44.1,15.5,26.9,4.6,8.9
1400000US26021000900,"Census Tract 9, Berrien County, Michigan",966,43.7,12.7,24.8,7.8,11
1400000US26021001000,"Census Tract 10, Berrien County, Michigan",980,58,9.9,18.6,4.2,9.4
1400000US26021001100,"Census Tract 11, Berrien County, Michigan",2038,50.2,10.2,21.2,4.7,13.6
1400000US26021001300,"Census Tract 13, Berrien County, Michigan",987,53,15.7,21.1,2.7,7.5
1400000US26021001400,"Census Tract 14, Berrien County, Michigan",2101,51.4,14.6,19.6,2,12.4
1400000US26021001500,"Census Tract 15, Berrien County, Michigan",1459,50.2,14.9,21,2.5,11.4
1400000US26021001600,"Census Tract 16, Berrien County, Michigan",1220,43.6,14.8,30.6,6.6,4.5
1400000US26021001700,"Census Tract 17, Berrien County, Michigan",2323,51.5,15.7,13.1,7.1,12.7
1400000US26021001800,"Census Tract 18, Berrien County, Michigan",2139,44.5,13.3,20.2,10.1,11.9
1400000US26021001900,"Census Tract 19, Berrien County, Michigan",844,32,13.7,24.2,7.8,22.3
1400000US26021002000,"Census Tract 20, Berrien County, Michigan",1472,22.9,29.3,24,2.2,21.5
1400000US26021002100,"Census Tract 21, Berrien County, Michigan",540,16.1,30.2,22.2,9.3,22.2
1400000US26021002200,"Census Tract 22, Berrien County, Michigan",781,5,33.3,37.3,5.4,19.1
1400000US26021002300,"Census Tract 23, Berrien County, Michigan",834,11,27.3,23.6,9.2,28.8
1400000US26021002400,"Census Tract 24, Berrien County, Michigan",855,20.1,14.7,25.1,25.4,14.6
1400000US26021002500,"Census Tract 25, Berrien County, Michigan",925,27.4,21,24.4,9,18.3
1400000US26021010100,"Census Tract 101, Berrien County, Michigan",1701,29.7,14.1,22.8,9.2,24.2
1400000US26021010200,"Census Tract 102, Berrien County, Michigan",3177,31.6,18.1,24.1,9.3,16.9
1400000US26021010300,"Census Tract 103, Berrien County, Michigan",1964,23.1,20.4,22.5,12.6,21.5
1400000US26021010400,"Census Tract 104, Berrien County, Michigan",1381,26.7,14.9,23.2,20.4,14.8
1400000US26021010500,"Census Tract 105, Berrien County, Michigan",1032,31.1,9.9,22.4,18.8,17.8
1400000US26021010600,"Census Tract 106, Berrien County, Michigan",2418,42.2,13.9,18.8,14.7,10.5
1400000US26021011000,"Census Tract 110, Berrien County, Michigan",1417,28.7,20.1,20,14.4,16.9
1400000US26021011100,"Census Tract 111, Berrien County, Michigan",2418,42.5,18.3,19.5,5,14.7
1400000US26021011200,"Census Tract 112, Berrien County, Michigan",1256,36.9,17.8,36.1,7.2,2
1400000US26021011300,"Census Tract 113, Berrien County, Michigan",1834,43.1,17.3,21.9,10.7,7
1400000US26021011400,"Census Tract 114, Berrien County, Michigan",1245,25.5,26.3,17.4,13.8,16.9
1400000US26021011500,"Census Tract 115, Berrien County, Michigan",607,24.2,21.1,15.8,16.6,22.2
1400000US26021011600,"Census Tract 116, Berrien County, Michigan",923,22.5,21.2,21.3,15.3,19.6
1400000US26021020100,"Census Tract 201, Berrien County, Michigan",1148,32.2,12.9,30.3,4.5,20
1400000US26021020200,"Census Tract 202, Berrien County, Michigan",2511,31,18.2,20.5,12.1,18.1
1400000US26021020300,"Census Tract 203, Berrien County, Michigan",1352,34.9,14.9,21.7,9.6,18.9
1400000US26021020400,"Census Tract 204, Berrien County, Michigan",1870,40.7,10.2,24.9,10.8,13.3
1400000US26021020500,"Census Tract 205, Berrien County, Michigan",1025,19.1,21.5,21.5,12.4,25.6
1400000US26021020600,"Census Tract 206, Berrien County, Michigan",1401,28.8,17.7,26.1,3.9,23.6
1400000US26021020700,"Census Tract 207, Berrien County, Michigan",1154,15.5,20.6,27.1,9.6,27.1
1400000US26021020900,"Census Tract 209, Berrien County, Michigan",1461,26.8,20.3,21.7,7.6,23.7
1400000US26021021000,"Census Tract 210, Berrien County, Michigan",2290,17.2,23.2,27.6,13.9,18.1
1400000US26021021100,"Census Tract 211, Berrien County, Michigan",848,24.8,15.4,26.4,10.8,22.5
1400000US26021021200,"Census Tract 212, Berrien County, Michigan",585,13.5,23.2,19.8,11.6,31.8
1400000US26021021300,"Census Tract 213, Berrien County, Michigan",2934,40,31.1,21.5,3.5,3.9
1400000US26021021400,"Census Tract 214, Berrien County, Michigan",1693,39.9,18.8,16.4,14.4,10.5
1400000US26021990000,"Census Tract 9900, Berrien County, Michigan",0,-,-,-,-,-
1400000US26023950100,"Census Tract 9501, Branch County, Michigan",1677,23.5,20.6,20.6,12,23.3
1400000US26023950200,"Census Tract 9502, Branch County, Michigan",1415,26.4,15.9,24.7,8.6,24.4
1400000US26023950300,"Census Tract 9503, Branch County, Michigan",1705,23.1,16.8,22.1,10.3,27.7
1400000US26023950800,"Census Tract 9508, Branch County, Michigan",1838,21.9,19.1,20.8,15.8,22.3
1400000US26023950900,"Census Tract 9509, Branch County, Michigan",996,25.8,15.6,27.1,6.6,24.9
1400000US26023951000,"Census Tract 9510, Branch County, Michigan",1068,32.4,12.9,30.2,8,16.5
1400000US26023951100,"Census Tract 9511, Branch County, Michigan",1502,29.2,13,18.8,13.9,25.2
1400000US26023951200,"Census Tract 9512, Branch County, Michigan",2075,19,22.1,17.1,10,31.9
1400000US26023951300,"Census Tract 9513, Branch County, Michigan",1466,26.1,17.5,25,9.8,21.7
1400000US26023951400,"Census Tract 9514, Branch County, Michigan",1893,11,21.9,26.9,8.9,31.3
1400000US26023951500,"Census Tract 9515, Branch County, Michigan",1464,30.9,20,20.8,6.6,21.7
1400000US26023951600,"Census Tract 9516, Branch County, Michigan",1553,18.2,23.6,22,7.5,28.8
1400000US26025000200,"Census Tract 2, Calhoun County, Michigan",1313,21.6,36.2,14.7,6.4,21.1
1400000US26025000300,"Census Tract 3, Calhoun County, Michigan",606,15.2,17.7,11.4,0,55.8
1400000US26025000500,"Census Tract 5, Calhoun County, Michigan",1325,13,20.6,27.5,5.8,33.1
1400000US26025000600,"Census Tract 6, Calhoun County, Michigan",780,15.5,21.2,19.5,11.9,31.9
1400000US26025000700,"Census Tract 7, Calhoun County, Michigan",1028,4.7,32.1,21.5,3.4,38.3
1400000US26025000800,"Census Tract 8, Calhoun County, Michigan",1240,17.9,26.5,19.8,7.7,28.1
1400000US26025000900,"Census Tract 9, Calhoun County, Michigan",1719,33.4,20.9,24.7,4.8,16.1
1400000US26025001000,"Census Tract 10, Calhoun County, Michigan",1232,19.6,21.6,23.4,11,24.4
1400000US26025001100,"Census Tract 11, Calhoun County, Michigan",1991,26.9,22.4,18.6,4.8,27.3
1400000US26025001200,"Census Tract 12, Calhoun County, Michigan",1111,24.9,18.2,28.4,2.7,25.8
1400000US26025001300,"Census Tract 13, Calhoun County, Michigan",1645,17.8,19.8,19.6,10.3,32.5
1400000US26025001400,"Census Tract 14, Calhoun County, Michigan",1859,21.3,18.5,19.8,12.6,27.8
1400000US26025001500,"Census Tract 15, Calhoun County, Michigan",2527,43.7,16.8,17.7,4.6,17.1
1400000US26025001600,"Census Tract 16, Calhoun County, Michigan",1300,33.2,13.8,29.8,1.4,21.8
1400000US26025001700,"Census Tract 17, Calhoun County, Michigan",1927,35.1,17.2,26.3,3.1,18.3
1400000US26025001800,"Census Tract 18, Calhoun County, Michigan",3106,37.4,14.8,22.8,4.4,20.6
1400000US26025001900,"Census Tract 19, Calhoun County, Michigan",1841,38,20.2,20.9,4,16.9
1400000US26025002000,"Census Tract 20, Calhoun County, Michigan",2557,31.5,16.7,24.6,5.8,21.5
1400000US26025002100,"Census Tract 21, Calhoun County, Michigan",498,15.9,25.5,14.9,16.3,27.5
1400000US26025002200,"Census Tract 22, Calhoun County, Michigan",1485,42.9,12.1,24,5.9,15.1
1400000US26025002300,"Census Tract 23, Calhoun County, Michigan",1732,27.7,12.2,26.7,3.5,29.8
1400000US26025002400,"Census Tract 24, Calhoun County, Michigan",1072,25.5,15.7,28.1,10.7,20.1
1400000US26025002500,"Census Tract 25, Calhoun County, Michigan",1790,22.9,15,27.4,13.7,21
1400000US26025002600,"Census Tract 26, Calhoun County, Michigan",860,19.2,16.4,22.1,2.3,40
1400000US26025002700,"Census Tract 27, Calhoun County, Michigan",2920,33.3,17.5,27.3,9.8,12.1
1400000US26025002800,"Census Tract 28, Calhoun County, Michigan",2005,22.6,18.6,23,10.1,25.7
1400000US26025002900,"Census Tract 29, Calhoun County, Michigan",1324,27.6,17.7,20.9,10.9,23
1400000US26025003000,"Census Tract 30, Calhoun County, Michigan",1042,30.2,14.5,18.2,11.9,25.1
1400000US26025003100,"Census Tract 31, Calhoun County, Michigan",1189,23.2,20.1,16,10.3,30.4
1400000US26025003200,"Census Tract 32, Calhoun County, Michigan",938,29.3,19,21.7,7.2,22.7
1400000US26025003300,"Census Tract 33, Calhoun County, Michigan",650,32.6,30,20.9,4,12.5
1400000US26025003400,"Census Tract 34, Calhoun County, Michigan",1024,31.1,27.7,18.9,7.3,14.9
1400000US26025003500,"Census Tract 35, Calhoun County, Michigan",1002,24.2,27.7,27.6,2.5,18
1400000US26025003600,"Census Tract 36, Calhoun County, Michigan",756,7.8,33.1,16.7,4,38.5
1400000US26025003700,"Census Tract 37, Calhoun County, Michigan",1863,27.3,17.2,18.5,12.9,24.1
1400000US26025003800,"Census Tract 38, Calhoun County, Michigan",2280,43.6,14.1,17.9,10.4,13.9
1400000US26025003900,"Census Tract 39, Calhoun County, Michigan",1847,44.1,15.9,15.4,11.2,13.4
1400000US26025004000,"Census Tract 40, Calhoun County, Michigan",1924,24,21.2,22.7,6.2,25.9
1400000US26025004100,"Census Tract 41, Calhoun County, Michigan",641,19.7,39.8,8,11.9,20.7
1400000US26027001000,"Census Tract 10, Cass County, Michigan",1700,31.6,9.4,25.9,10.4,22.7
1400000US26027001100,"Census Tract 11, Cass County, Michigan",1381,21.2,22.5,19.9,11.2,25.1
1400000US26027001200,"Census Tract 12, Cass County, Michigan",1292,36.1,15,18.9,12.9,17.1
1400000US26027001500,"Census Tract 15, Cass County, Michigan",1825,28.5,18.5,20.2,14.6,18.2
1400000US26027001600,"Census Tract 16, Cass County, Michigan",1641,23.3,15.7,21.8,12.3,26.9
1400000US26027001700,"Census Tract 17, Cass County, Michigan",2402,23.3,16,19.4,13.5,27.8
1400000US26027001800,"Census Tract 18, Cass County, Michigan",3909,35.2,10.8,27.2,7.9,18.9
1400000US26027001900,"Census Tract 19, Cass County, Michigan",2082,21.7,19.3,24.8,14.1,20.2
1400000US26027002000,"Census Tract 20, Cass County, Michigan",1703,25.1,16.4,17.4,9.7,31.4
1400000US26027002100,"Census Tract 21, Cass County, Michigan",2291,18.4,18.6,23,9.7,30.2
1400000US26027002200,"Census Tract 22, Cass County, Michigan",2520,30.7,14.4,19.3,15,20.6
1400000US26029000100,"Census Tract 1, Charlevoix County, Michigan",804,22.5,24.1,17.2,18,18.2
1400000US26029000200,"Census Tract 2, Charlevoix County, Michigan",607,24.7,21.6,20.9,15.7,17.1
1400000US26029000300,"Census Tract 3, Charlevoix County, Michigan",1131,34.6,18.8,23,11.2,12.4
1400000US26029000400,"Census Tract 4, Charlevoix County, Michigan",1179,30.3,15.9,32.8,9.4,11.6
1400000US26029000500,"Census Tract 5, Charlevoix County, Michigan",223,32.7,22.9,23.8,13,7.6
1400000US26029000800,"Census Tract 8, Charlevoix County, Michigan",1362,28.5,20.1,25.5,11,14.9
1400000US26029000900,"Census Tract 9, Charlevoix County, Michigan",849,38.4,21.6,18.4,9.9,11.8
1400000US26029001000,"Census Tract 10, Charlevoix County, Michigan",926,24.7,18.8,22,15.1,19.3
1400000US26029001100,"Census Tract 11, Charlevoix County, Michigan",847,20.5,21.1,24.4,8,25.9
1400000US26029001200,"Census Tract 12, Charlevoix County, Michigan",1483,28.2,20.2,24.2,8.2,19.2
1400000US26029001300,"Census Tract 13, Charlevoix County, Michigan",647,33.5,19.3,27.5,6.2,13.4
1400000US26029001400,"Census Tract 14, Charlevoix County, Michigan",625,31.8,18.1,25.4,9.1,15.5
1400000US26029001500,"Census Tract 15, Charlevoix County, Michigan",1163,25.6,26.5,24.1,5.8,18
1400000US26029990000,"Census Tract 9900, Charlevoix County, Michigan",0,-,-,-,-,-
1400000US26031960100,"Census Tract 9601, Cheboygan County, Michigan",1333,24.4,26.9,20.7,13.4,14.6
1400000US26031960200,"Census Tract 9602, Cheboygan County, Michigan",1071,23.3,27.1,28.9,13.6,7
1400000US26031960300,"Census Tract 9603, Cheboygan County, Michigan",1588,28.5,20.7,27.2,11.7,12
1400000US26031960400,"Census Tract 9604, Cheboygan County, Michigan",1326,28.3,17.9,26.9,14.2,12.7
1400000US26031960500,"Census Tract 9605, Cheboygan County, Michigan",1138,29.1,16.8,33.4,9.5,11.2
1400000US26031960600,"Census Tract 9606, Cheboygan County, Michigan",1003,27.4,28.6,18.8,19.4,5.7
1400000US26031960700,"Census Tract 9607, Cheboygan County, Michigan",1297,24.4,17.3,23.2,17,18
1400000US26031960800,"Census Tract 9608, Cheboygan County, Michigan",1407,16,24.7,25.2,15.4,18.8
1400000US26031990000,"Census Tract 9900, Cheboygan County, Michigan",0,-,-,-,-,-
1400000US26033970100,"Census Tract 9701, Chippewa County, Michigan",1285,36.3,18.7,23.4,7.6,14
1400000US26033970200,"Census Tract 9702, Chippewa County, Michigan",1509,36.1,27.1,25.2,6,5.6
1400000US26033970300,"Census Tract 9703, Chippewa County, Michigan",2045,24.3,31.9,25,4.1,14.8
1400000US26033970400,"Census Tract 9704, Chippewa County, Michigan",1491,30.9,28.1,25.8,7.3,7.9
1400000US26033970500,"Census Tract 9705, Chippewa County, Michigan",1470,26.5,29.7,23.2,9.3,11.3
1400000US26033970600,"Census Tract 9706, Chippewa County, Michigan",2196,32.4,23.5,28.2,7.7,8.2
1400000US26033970700,"Census Tract 9707, Chippewa County, Michigan",315,20.6,36.8,17.8,15.2,9.5
1400000US26033970800,"Census Tract 9708, Chippewa County, Michigan",1891,29.1,27.1,19.2,8,16.6
1400000US26033970900,"Census Tract 9709, Chippewa County, Michigan",1124,25.2,27.5,19.3,11.6,16.5
1400000US26033971000,"Census Tract 9710, Chippewa County, Michigan",1215,27.8,25.9,21,11.1,14.2
1400000US26033971100,"Census Tract 9711, Chippewa County, Michigan",567,25.9,17.8,31.6,13.9,10.8
1400000US26033980100,"Census Tract 9801, Chippewa County, Michigan",0,-,-,-,-,-
1400000US26033980200,"Census Tract 9802, Chippewa County, Michigan",0,-,-,-,-,-
1400000US26033980300,"Census Tract 9803, Chippewa County, Michigan",0,-,-,-,-,-
1400000US26033990000,"Census Tract 9900, Chippewa County, Michigan",0,-,-,-,-,-
1400000US26033990100,"Census Tract 9901, Chippewa County, Michigan",0,-,-,-,-,-
1400000US26035000100,"Census Tract 1, Clare County, Michigan",479,21.9,29.2,22.1,12.7,14
1400000US26035000200,"Census Tract 2, Clare County, Michigan",484,25.8,12.4,23.3,21.3,17.1
1400000US26035000300,"Census Tract 3, Clare County, Michigan",606,12.2,23.9,19.1,11.6,33.2
1400000US26035000400,"Census Tract 4, Clare County, Michigan",1478,26,23.5,20.9,15.6,13.9
1400000US26035000500,"Census Tract 5, Clare County, Michigan",473,23.3,24.1,16.3,11,25.4
1400000US26035000600,"Census Tract 6, Clare County, Michigan",1618,24.2,24.4,31.2,9,11.2
1400000US26035000700,"Census Tract 7, Clare County, Michigan",1311,33.9,14.9,21.5,10.2,19.5
1400000US26035000800,"Census Tract 8, Clare County, Michigan",1568,27.6,21.9,19.8,12.9,17.9
1400000US26035000900,"Census Tract 9, Clare County, Michigan",515,21.6,31.5,19.6,14.6,12.8
1400000US26035001000,"Census Tract 10, Clare County, Michigan",979,22.5,26,20.9,15.3,15.2
1400000US26035001300,"Census Tract 13, Clare County, Michigan",1277,21.9,23.6,23.2,11.5,19.8
1400000US26037010104,"Census Tract 101.04, Clinton County, Michigan",1492,54.8,10.7,19,2.7,12.8
1400000US26037010105,"Census Tract 101.05, Clinton County, Michigan",1944,55.7,14.4,19.1,4.5,6.3
1400000US26037010107,"Census Tract 101.07, Clinton County, Michigan",2022,41.8,19.3,23.8,5.4,9.7
1400000US26037010108,"Census Tract 101.08, Clinton County, Michigan",2153,56,9.6,19.5,3.6,11.3
1400000US26037010201,"Census Tract 102.01, Clinton County, Michigan",1164,35.5,14.5,16,10.8,23.2
