Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",462,27.7,21.4,21.9,16.7,12.3
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",776,25.1,24.5,27.3,8.5,14.6
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",993,16.4,22.7,20.8,16.1,24
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",534,19.7,24.3,20,10.9,25.1
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",523,30.6,18.4,21.4,13,16.6
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1461,25.7,19.8,27.4,6.6,20.5
1400000US26003000200,"Census Tract 2, Alger County, Michigan",978,37.8,20.4,20.4,9.7,11.6
1400000US26003000300,"Census Tract 3, Alger County, Michigan",727,26.1,16.6,19.5,13.9,23.8
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1745,43.3,19.3,20.9,5,11.5
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3753,24.6,15.5,24,13.2,22.8
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4113,27.4,17.4,17.6,16.1,21.6
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2327,31.8,11.6,23.9,14.7,18
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3090,24.9,15.9,23.9,10.7,24.7
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2247,27.5,14.7,17.2,14.2,26.4
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2428,28.7,12.8,21.1,10.8,26.6
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",1024,17.9,14.5,16.3,17.9,33.5
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2060,22.9,17.4,20.4,11,28.4
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2177,39.3,13.1,22.8,7.8,17
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1085,38.3,14.8,19,17.2,10.6
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1097,33.5,13.2,19.7,7.9,25.7
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2240,22.1,23.8,14.7,14,25.5
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2784,27.7,13.9,18.9,12.8,26.8
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2092,35.2,11.8,21.6,6.5,25
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2367,25,21.8,17.1,13.4,22.8
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",1995,32,13.2,22.9,10.8,21.1
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2230,22.2,21.8,25.5,9.9,20.6
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2428,34.6,15.6,18.6,8.7,22.4
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2304,28.4,17.2,24.5,11.2,18.7
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2148,24.3,15.8,25,8.1,26.8
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",660,22,15.6,13.6,14.5,34.2
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",1982,31.7,10,21.3,10.5,26.4
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",705,37.4,12.8,24.5,6.7,18.6
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",1744,30.8,15.2,19.8,14,20.1
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",1967,26.3,19.6,24.9,12.4,16.8
1400000US26007000300,"Census Tract 3, Alpena County, Michigan",1346,30.2,24.4,19.9,14.4,11.1
1400000US26007000400,"Census Tract 4, Alpena County, Michigan",1197,18,20.6,32.1,8.9,20.5
1400000US26007000500,"Census Tract 5, Alpena County, Michigan",865,26.9,22.5,29.2,6.2,15
1400000US26007000600,"Census Tract 6, Alpena County, Michigan",1348,31.2,15.4,33.5,11,9
1400000US26007000700,"Census Tract 7, Alpena County, Michigan",1212,39.1,21,20.4,10.8,8.7
1400000US26007000800,"Census Tract 8, Alpena County, Michigan",1381,28,23.1,32.2,7,9.6
1400000US26007000900,"Census Tract 9, Alpena County, Michigan",1173,36.5,12.1,27.5,10.3,13.6
1400000US26007990000,"Census Tract 9900, Alpena County, Michigan",0,-,-,-,-,-
1400000US26009960100,"Census Tract 9601, Antrim County, Michigan",1171,26.5,23.5,23.8,13.2,13
1400000US26009960200,"Census Tract 9602, Antrim County, Michigan",1429,24.3,20.4,19.2,13.6,22.5
1400000US26009960300,"Census Tract 9603, Antrim County, Michigan",1118,25.5,24.3,17.6,8.7,23.9
1400000US26009960400,"Census Tract 9604, Antrim County, Michigan",1201,31.6,30.8,17.2,7.8,12.5
1400000US26009960500,"Census Tract 9605, Antrim County, Michigan",1356,32.5,16.3,22.6,13.9,14.6
