Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",491,29.7,15.7,25.5,15.9,13.2
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",865,28.9,28.6,25.1,7.4,10.1
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",991,17,22.4,23.9,18,18.8
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",579,23.5,29.9,18.7,11.7,16.2
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",454,28.2,16.3,22.7,13.7,19.2
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1322,24.4,28,20.4,10.5,16.7
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1058,29.9,23.7,22.2,13.3,10.9
1400000US26003000300,"Census Tract 3, Alger County, Michigan",641,23.7,25.3,14.8,16.8,19.3
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1828,43.8,17,22.5,6.6,10.1
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3683,24.2,16.1,25.5,13.5,20.7
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4018,30.5,16.7,22.3,15.5,15
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2392,32.1,16.1,25.1,10.1,16.5
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3014,25,14.1,24.3,12,24.6
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2236,27.6,12.3,19,14.3,26.8
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2332,29.6,12.6,20.1,14,23.8
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",995,17.9,16.2,19.2,11.3,35.5
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2323,26,17.9,18.7,9.9,27.6
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2152,40,14.2,26.2,9.2,10.5
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1005,20.6,17.1,20.1,23.1,19.1
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1161,28.5,13.8,19.2,16.2,22.3
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2221,18.1,20.1,21,16.3,24.5
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2786,26.8,13,22.1,11.1,27
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2113,21.8,12.6,27.1,7.7,30.8
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2362,23.5,19,17,15.1,25.4
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",1920,24.9,14,29,9,23.2
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2262,27.7,20.2,26.6,6.2,19.4
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2265,29.8,15.5,28,8.7,18.1
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2209,35.4,16,24,8.6,15.9
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2241,27.8,21.4,21.3,8.3,21.1
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",647,14.8,9,16.2,18.1,41.9
