Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",541,27.2,15.9,24.6,16.5,15.9
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",890,26.1,29.1,23.8,10.7,10.3
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",1066,18.7,22.1,24.5,17,17.7
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",561,23.7,28.5,20.5,10.9,16.4
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",421,26.4,17.3,21.4,10.5,24.5
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1343,24,32.3,16.2,13.3,14.2
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1188,30.9,26.8,18.2,12.9,11.3
1400000US26003000300,"Census Tract 3, Alger County, Michigan",721,22.1,21.5,17.8,17.3,21.4
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1856,47.2,14.5,20.4,7.1,10.8
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3607,24.8,14.4,23.9,16.7,20.1
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4002,28.5,14.1,23.8,18.1,15.5
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2381,33.8,14.8,22.1,11.4,17.8
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3161,25.4,12.3,25.3,10.3,26.6
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2301,26.9,12.9,19.8,14,26.5
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2215,30.2,11.7,21.1,13.3,23.7
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",1036,14.8,15.7,17.1,14.6,37.8
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2333,26.7,18.8,20.7,9.8,24
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2056,39.9,16.2,23,7.2,13.6
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1172,16.3,13.4,22.7,25.8,21.8
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1153,27.7,16,20.2,13.9,22.2
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2347,17.9,17.1,21.5,15.1,28.4
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2758,25.5,12.1,22.8,13.2,26.4
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2123,23.7,13.1,27.6,8.8,26.8
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2379,20.8,19,19.6,15.8,24.8
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",2172,25.3,17,26.7,7.6,23.3
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2234,28.3,17.9,28.1,5.3,20.4
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2415,31.5,14,25.6,7.4,21.5
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2203,36.8,14.9,22.6,7.8,17.9
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2362,25.8,22.8,22.2,8.3,20.9
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",618,9.9,9.9,18.3,25.7,36.2
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",1837,29.9,15.7,22,12.5,19.8
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",524,38.4,7.6,41,5.2,7.8
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",1838,28.4,19.2,17.7,16.5,18.2
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",1919,30,15,24.8,17,13.2
1400000US26007000300,"Census Tract 3, Alpena County, Michigan",1470,40.7,10.8,21.7,14.8,12
1400000US26007000400,"Census Tract 4, Alpena County, Michigan",1218,16.9,25.2,27.8,8.8,21.3
1400000US26007000500,"Census Tract 5, Alpena County, Michigan",968,37.3,13.2,26.7,3.6,19.2
1400000US26007000600,"Census Tract 6, Alpena County, Michigan",1008,36.1,10.1,28.8,14.9,10.1
1400000US26007000700,"Census Tract 7, Alpena County, Michigan",1080,40.6,19.2,25.3,6.1,8.9
1400000US26007000800,"Census Tract 8, Alpena County, Michigan",1558,32.9,31.5,24.4,3,8.3
1400000US26007000900,"Census Tract 9, Alpena County, Michigan",1397,29.6,14.5,24.1,12.7,19.1
1400000US26007990000,"Census Tract 9900, Alpena County, Michigan",0,-,-,-,-,-
1400000US26009960100,"Census Tract 9601, Antrim County, Michigan",1202,29.5,19.1,21.4,18,12.1
1400000US26009960200,"Census Tract 9602, Antrim County, Michigan",1441,22.3,22,18.1,12.6,24.9
1400000US26009960300,"Census Tract 9603, Antrim County, Michigan",1038,24.4,17.7,25,13.3,19.7
1400000US26009960400,"Census Tract 9604, Antrim County, Michigan",1322,29.5,28.3,21.2,8.9,12.2
1400000US26009960500,"Census Tract 9605, Antrim County, Michigan",1366,37.1,13.2,18.5,17.3,13.9
1400000US26009960600,"Census Tract 9606, Antrim County, Michigan",1347,33.6,19.5,32.7,6.6,7.6
1400000US26009960700,"Census Tract 9607, Antrim County, Michigan",1701,22.9,28.2,19,10.8,19.2
1400000US26009990000,"Census Tract 9900, Antrim County, Michigan",0,-,-,-,-,-
1400000US26011970100,"Census Tract 9701, Arenac County, Michigan",893,28.2,24,18.3,12.8,16.8
1400000US26011970200,"Census Tract 9702, Arenac County, Michigan",1170,27.6,20.9,20.5,12.3,18.7
1400000US26011970300,"Census Tract 9703, Arenac County, Michigan",1049,27,22.6,19.7,14.7,16
1400000US26011970400,"Census Tract 9704, Arenac County, Michigan",978,27.7,22,22.1,12.5,15.7
1400000US26011970500,"Census Tract 9705, Arenac County, Michigan",1589,28.4,17.9,24.9,8.8,20
1400000US26011990000,"Census Tract 9900, Arenac County, Michigan",0,-,-,-,-,-
1400000US26011990100,"Census Tract 9901, Arenac County, Michigan",0,-,-,-,-,-
1400000US26013000100,"Census Tract 1, Baraga County, Michigan",1609,28.7,27.2,18.8,10.9,14.4
1400000US26013000200,"Census Tract 2, Baraga County, Michigan",1473,29.7,26.6,19.9,8.1,15.8
1400000US26013990100,"Census Tract 9901, Baraga County, Michigan",0,-,-,-,-,-
1400000US26015010100,"Census Tract 101, Barry County, Michigan",2544,18.7,22.2,22.4,13.2,23.5
1400000US26015010200,"Census Tract 102, Barry County, Michigan",2750,26,11.6,24.9,14.5,23
1400000US26015010300,"Census Tract 103, Barry County, Michigan",4285,28.2,13.3,26.1,13.8,18.7
1400000US26015010401,"Census Tract 104.01, Barry County, Michigan",1513,21.1,14.8,24.3,17.5,22.3
1400000US26015010402,"Census Tract 104.02, Barry County, Michigan",1705,32.3,10.7,25.2,17.7,14.1
1400000US26015010500,"Census Tract 105, Barry County, Michigan",1645,32.6,13,17.7,22.9,13.8
1400000US26015010600,"Census Tract 106, Barry County, Michigan",2795,25.3,22.5,19.4,13.1,19.6
1400000US26015010700,"Census Tract 107, Barry County, Michigan",2149,28.5,10.3,21,10.6,29.5
1400000US26015010800,"Census Tract 108, Barry County, Michigan",1442,27.4,14.5,22.3,14.1,21.7
1400000US26015011300,"Census Tract 113, Barry County, Michigan",3419,19.5,25.9,21.7,9.2,23.6
1400000US26015011400,"Census Tract 114, Barry County, Michigan",2748,33.5,15.9,21.8,12.4,16.4
1400000US26017280300,"Census Tract 2803, Bay County, Michigan",415,27,24.1,11.1,9.6,28.2
1400000US26017280400,"Census Tract 2804, Bay County, Michigan",1377,26.3,28.6,27.7,4.9,12.6
1400000US26017280500,"Census Tract 2805, Bay County, Michigan",1855,44,19.2,25.8,5.1,5.9
1400000US26017280600,"Census Tract 2806, Bay County, Michigan",1256,18.3,23.5,27.1,14.6,16.5
1400000US26017280700,"Census Tract 2807, Bay County, Michigan",1381,16.2,30.1,29.6,6.6,17.5
1400000US26017280800,"Census Tract 2808, Bay County, Michigan",1755,23.8,20.3,34.1,9.7,12.1
1400000US26017280900,"Census Tract 2809, Bay County, Michigan",1055,26.9,19.8,24.5,9.2,19.6
1400000US26017281000,"Census Tract 2810, Bay County, Michigan",1683,20.5,32.7,22.2,7.8,16.8
