Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",517,24.6,16.8,26.1,15.3,17.2
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",881,29.6,24.9,22.2,13.2,10.1
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",1089,18.5,21.6,21.6,16.4,21.9
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",627,21.4,20.7,25.5,12,20.4
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",386,22,20.7,24.9,10.4,22
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1340,22.8,32.4,20.1,11.3,13.4
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1305,32.6,22.5,20.2,14.3,10.3
1400000US26003000300,"Census Tract 3, Alger County, Michigan",734,25.1,22.3,21.8,14.4,16.3
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1780,42.1,11.1,28,6.7,12.1
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3481,24.9,16.5,23.6,15.9,19.2
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4019,29,13.2,23.6,18.2,15.9
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2343,28.5,17.8,20.4,15.6,17.8
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3120,24.4,11.3,25.9,10.9,27.5
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2429,24.1,12.9,19.3,16.8,26.9
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2198,30.6,10.6,21.3,13.4,24
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",1140,13.6,16.8,18.5,13.2,38
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2260,25.4,18.8,19.9,10.8,25
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2222,38.3,17.1,22.5,7.7,14.4
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1197,19.9,14.5,25,13.3,27.4
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1137,34.6,12.4,18.9,13.4,20.8
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2430,16.5,21.5,23.2,14.9,23.9
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2819,24.5,13.6,24.6,14.7,22.7
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2197,22.5,14,28.5,8.6,26.4
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2358,21.5,17.1,20.7,15.7,25
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",2219,22.5,17.9,27.7,5.6,26.2
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2249,26.1,13.7,31.7,6.8,21.7
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2432,30.5,14.8,25.5,8,21.3
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2133,39.7,10.9,24.4,9.5,15.6
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2186,30.3,23.9,20.3,4.6,21
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",594,14.5,6.4,18,21.9,39.2
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",1916,27.3,17.6,22.3,12,20.7
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",557,33.4,14.4,30.3,8.6,13.3
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",1904,27.3,18.2,20.4,14.6,19.5
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",1988,29.4,15.3,26.8,14.7,13.8
1400000US26007000300,"Census Tract 3, Alpena County, Michigan",1667,36.4,13,25.8,9.9,14.9
1400000US26007000400,"Census Tract 4, Alpena County, Michigan",1263,14,23.6,29.1,12.2,21.1
1400000US26007000500,"Census Tract 5, Alpena County, Michigan",1020,31.2,20.3,26.2,3.9,18.4
1400000US26007000600,"Census Tract 6, Alpena County, Michigan",966,37.3,10.9,30.3,7.6,14
1400000US26007000700,"Census Tract 7, Alpena County, Michigan",1073,33.6,18.1,27.7,6,14.7
